Mã Sản Phẩm,Tên sản phẩm,Bán chạy,Danh mục,Thể Loại,Đơn vị,Kích thước,Chieu_Dai_Max (mm),Chieu_Rong_Max (mm),Chieu_Cao_Max (mm),Kich_Thuoc_Hop_Tho (mm),Khối lượng (m3),Trọng lượng (tấn),Đá xanh đen,Đá xanh rêu,Đá xám BĐ,Đá GRN đen Ấn Độ,Ghi chú,Đá xanh Bình Định,Đá trắng Yên Bái,Có ảnh
BL01,BÀN LỄ,,An Tâm,Tam sơn,bộ,KT: D870xR400XC680mm,870,400,680,,0.156,0.468,6656000,8736000,9865000,21106000,,10782000,7488000,TRUE
BL09,BÀN LỄ,,An Tâm,Tam sơn,bộ,KT: D890xR480xC670mm,890,480,670,,0.175,0.525,7467000,9800000,11066000,23676000,,12096000,8400000,TRUE
CT01,Cuốn thư 1170,Bán chạy,An Tâm,Cuốn thư,bộ,Thân cuốn thư: 710x1070x140mm Đế cuốn thư: 1170x210x270mm,,,,,0.173,0.519,7381000,9688000,10940000,23406000,,11957000,8304000,TRUE
CT02,Cuốn thư 1370,Bán chạy,Trường Tồn,Cuốn thư,bộ,Thân cuốn thư: 834x1255x150mm Đế cuốn thư: 1370x247x300mm,,,,,0.258,0.774,12141000,15935000,17610000,36517000,,19248000,13659000,TRUE
CT03,Cuốn thư 1200,,Trường Tồn,Cuốn thư,bộ,đế cuốn thư 2550,,,,,0.8,2.400,37647000,49412000,54603000,113231000,,59683000,42353000,TRUE
CT04,Cuốn thư cột 1670,,Trường Tồn,Cuốn thư,bộ,Thân cuốn thư: 1210x780x150 mm Đế cuốn thư: 1130x250x250mm Cột: 170x170x1180mm,,,,,0.365,1.095,17176000,22544000,24913000,51662000,,27230000,19324000,TRUE
CT05,Cuốn thư cột 1970,Bán chạy,Trường Tồn,Cuốn thư,bộ,Thân cuốn thư: 1450x970x150 mm Đế cuốn thư: 1400x250x250mm Cột: 200x200x1260mm,,,,,0.499,1.497,23482000,30821000,34059000,70628000,,37227000,26418000,TRUE
CT08,Cuốn thư cột 2170,,Trường Tồn,Cuốn thư,bộ,Thân cuốn thư: 1650x1200x150 mm Đế cuốn thư: 1600x250x250mm Cột: 200x200x1460mm,,,,,0.618,1.854,29082000,38171000,42181000,87471000,,46105000,32718000,TRUE
CT14,CUỐN THƯ 1370,,Trường Tồn,Cuốn thư,bộ,Thân cuốn thư: 834x1255x150mm Đế cuốn thư: 1370x247x300mm,,,,,0.258,0.774,12141000,15935000,17610000,36517000,,19248000,13659000,TRUE
CT15,CUỐN THƯ 1200,,An Tâm,Cuốn thư,bộ,Thân cuốn thư: 1000x600x100mm Đế cuốn thư: 1200x300x160mm,,,,,0.118,0.354,5035000,6608000,7462000,15965000,,8156000,5664000,TRUE
