record_id,Mã Sản Phẩm,Tên sản phẩm,Bán chạy,Ảnh,Ảnh báo giá(1 ảnh rõ sản phẩm),sp ưu tiên,Nhóm công việc,Media,Mô tả,Danh mục,Thể Loại,Đơn vị,Quy CáchGhép SP,Kích thước,Khối lượng (m3),Trọng lượng (tấn),Đá xanh đen,Đá xanh rêu,Đá xám BĐ,Đá GRN đen Ấn Độ,Ghi chú,Video,Link ảnh,GÁN MÃ ẢNH,Link ảnh có mã
recvfYKNPjwuf2,LD01,Long đình,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/DKWgbzYEkoRVZyxO0UdlngwTg2d/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/GeWabY3SmoVmPMxQLMzly1cngnd/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/TAbsbrDRroleLjxJCQrl08x5gdg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/AQY3bwn4vodycWxxWz5lWX6agmb/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/BPDlbkop2ogf3kxceCtlh2nggwe/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/IKwebrJTbovDF9xTYMClWXdrgmc/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/POsnbG4vSoNccVxkA0Ilaanagtc/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,PJ027,,An Tâm,Long đình,bộ,58,"- Chiều dài tổng: 5200mm
- Hộp thờ: 790mm
- Chiều cao tổng: 2830mm",1.817,5.451,75512000,99109000,120243000,245829000,Long Đình 2 mái 4 cánh,https://open.larksuite.com/open-apis/drive/v1/medias/R9vhb0O09oaZwNx2mNAlkKa2gAd/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A29%3A13.590-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD01,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778218723/ChatGPT_Image_10_46_10_5_thg_3_2026_2_lmfzag.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD01,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778218720/LD01_Anh_6_ial4y8.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD01,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778218722/49_inroy8.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD01,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778218722/47_a9y82k.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD01,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778218722/46_haifpy.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD01,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778218722/48_m2evwp.png"
recvfYKNPjH8RR,LD02,Long đình,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/JhzhbV2ghoC9vkxjdBRlrr4Xglg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/InnSbTLHzoIo3rxzbBMlBueHg6g/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/DwucbcLT7oDpAXx3KczlFy2ughd/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/WjrxbZycQoyXEZxYHgZlBc9Ig8b/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Long đình,bộ,53,"- Chiều dài tổng: 5400mm
- Hộp thờ: 1215mm
- Chiều cao tổng: 3354mm",3.817,11.451,174491000,229020000,286275000,540252000,Long Đình 2 mái 4 cánh,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A29%3A22.414-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD02,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778218612/LD02-3_copy_n7khfv.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD02,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778218612/LD02_copy_lq88r6.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD02,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778218612/LD02-2_copy_spakli.jpg"
recvfYKNPjl0Vs,LD03,Long đình,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/RlKGbuiC8o2ZKuxYYEOlIEaXgc6/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/Rq70bOcQAoCUuhxIdvIluhLBgLc/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/TKvWbyrJVo3H3YxJ1g5lZCHCg6d/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Long đình,bộ,64,"- Chiều dài tổng: 5530mm
- Hộp thờ: 770mm
- Chiều cao tổng: 3045mm",2.96,8.880,135314000,177600000,222000000,418954000,Long Đình 2 mái 4 cánh,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A29%3A31.578-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD03,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220833/LD03_yvcogq.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD03,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220833/LD03_vveykn.jpg"
recvfYKNPjd834,LD04,Long đình,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/Yz2obXkBUotrMkxew8tl0YFJg1e/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/G3fLbLznDo1T2OxKD2iloFKeg9g/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/T3SAbfO0hodk9SxjGmIlypHigrc/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/AV0Db84oIocLVVxWn77lFg2Cglh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/PwsPbqY3uoOJK4xKqsxlK5dYgwf/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/PIZJbpmHgooTOExd0DWl9YD7gdc/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/VzvCbRGg6oGpS5xM8RmlRtmNgpf/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/XwCVbV8bFocQSpxfjqklMRyygSb/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,PJ044,,Trường Tồn,Long đình,bộ,70,"- Chiều dài tổng: 5530mm
- Hộp thờ: 770mm
- Chiều cao tổng: 3260mm",3.368,10.104,153966000,202080000,252600000,476702000,Long Đình 3 mái 4 cánh,https://open.larksuite.com/open-apis/drive/v1/medias/Ya4QbVNV1obHI1xW2ImlnBASgWg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A29%3A41.204-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD04,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220846/2_exuvan.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD04,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220846/1_v92u48.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD04,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220846/3_kwy0dn.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD04,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220846/61_tl2lgq.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD04,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220846/64_xhruf9.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD04,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220846/63_du6cb3.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD04,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220848/62_rn9fec.png"
recvfYKNPjcpwS,LD05,Long đình,,https://open.larksuite.com/open-apis/drive/v1/medias/MLjJb5c9IolMfmxPiWhl7EJEgYf/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/O8Tob3sO3oGQqpxgryzlJaHPgSb/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/CSWsbJ68io2N3vxbDSwlBaXMgxg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Long đình,bộ,56,"- Chiều dài tổng: 2925mm
- Hộp thờ: 790mm
- Chiều cao tổng: 2840mm",1.6,4.800,66494000,87273000,105882000,216471000,Long Đình 2 mái 2 cánh,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A29%3A50.401-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD05,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220835/2738807647257578953_abwgqu.jpg"
recvfYNnn5Wh0D,LD06,Long đình,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/MWhNbnvP3oGoTpxm2JilG9RRgig/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/HqQibJH6Eo8gBSxCtfylZxdQguc/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/W2emb51lwo4c1UxHRKTlW2iTg3b/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/BHLGb4oepo3p5Mx02U9lVvP4glg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Long đình,bộ,68,"- Chiều dài tổng: 5530mm
- Hộp thờ: 870mm
- Chiều cao tổng: 3165mm",3.315,9.945,151543000,198900000,248625000,469200000,"Long Đình 2 mái 4 cánh
Cột góc to",,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A29%3A58.340-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD06,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220848/LD06_Anh_2_lef6mj.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD06,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220848/LD06_Anh_1_wjntg9.jpg
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD06,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220848/LD06_i2eory.jpg"
recvfYNnn5eUWK,LD07,Long đình,Bán chạy,https://open.larksuite.com/open-apis/drive/v1/medias/CoeSb7bEKot3Oyx363tlCplkgLg/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/KwaybuiuUoahkKxzAXIluuQNggh/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/GvoAbWQ2loVD6pxB6t9lP8F9gZd/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Long đình,bộ,50,"- Chiều dài tổng: 3200mm
- Hộp thờ: 770mm
- Chiều cao tổng: 3050mm",2.501,7.503,114331000,150060000,187575000,353988000,Long Đình 2 mái 2 cành,https://open.larksuite.com/open-apis/drive/v1/medias/HEw3btDtloo7y7x7OVrlg0Ndg96/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A30%3A06.769-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD07,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220856/LD07_Anh_1_mp35d3.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD07,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220843/LD07_Anh_2_cwt9md.jpg"
recvfYNnn5jOne,LD08,Long đình,,,https://open.larksuite.com/open-apis/drive/v1/medias/Ef3hbPpfCoX2C3x0kIIll5gHgFe/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,An Tâm,Long đình,bộ,46,"- Chiều dài tổng: 2925mm
- Hộp thờ: 790mm
- Chiều cao tổng: 2860mm",1.603,4.809,66618000,87436000,106081000,216876000,Long Đình 2 mái 2 cành,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A30%3A18.222-04%3A00.mp4,Có,
recvfYNnn5z6Hb,LD09,Long đình,,,,,,,,Trường Tồn,Long đình,bộ,50,"- Chiều dài tổng: 3260mm
- Hộp thờ: 850mm
- Chiều cao tổng: 3130mm",2.573,7.719,117623000,154380000,192975000,364178000,Long Đình 2 mái 2 cành,,,Có,
recvfYNnn54f7o,LD10,Long đình,,https://open.larksuite.com/open-apis/drive/v1/medias/WVR5byiuroYJFBxtOXElFY0pg7e/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G | https://open.larksuite.com/open-apis/drive/v1/medias/WqnBbqSZ2o98hdxtlGulklsIgIp/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,https://open.larksuite.com/open-apis/drive/v1/medias/LedobiEd4oGdb1xKEotl4QYig14/download?access_token=t-g2065q3q72CZNIPQ7CNZKEQYJQRKQ6QFQRMVX27G,,,,,Trường Tồn,Long đình,bộ,73,"- Chiều dài tổng: 4270mm
- Hộp thờ: 870mm
- Chiều cao tổng: 3380mm",3.319,9.957,151726000,199140000,248925000,469766000,Long Đình 3 mái 4 cành,,https://truckaka04.s3.ap-southeast-2.amazonaws.com/2026-05-06T01%3A30%3A27.069-04%3A00.mp4,Có,"https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD10,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220836/LD10-2_ns0nw5.png
https://res.cloudinary.com/dg8xzpxji/image/upload/w_600,c_fill/l_text:Arial_40_bold:LD10,co_rgb:ffffff,b_rgb:000000/fl_layer_apply,g_south_east,x_10,y_10/v1778220836/LD10_qiajez.png"
